,T0/S_H__T,T0/T,log_Fuel(%),log_Oxidizer(%),log_P(atm)
884,0.0467,0.7216,-3.0073,-0.0722,1.4025
885,0.0463,0.7217,-2.9808,-0.0442,1.4188
886,0.0455,0.7228,-2.9993,-0.0708,1.4039
887,0.0476,0.7193,-3.0192,-0.1099,1.3663
888,0.0466,0.7223,-2.9877,-0.0631,1.4184
889,0.0449,0.7242,-2.98,-0.0254,1.4187
890,0.0469,0.7219,-3.015,-0.0854,1.3892
891,0.0455,0.7226,-2.9965,-0.0568,1.4239
892,0.0476,0.719,-3.015,-0.0974,1.3713
893,0.0473,0.721,-3.0041,-0.0791,1.3842
894,0.0466,0.7226,-2.9879,-0.0524,1.3991
895,0.0472,0.7182,-3.0034,-0.0836,1.3861
896,0.045,0.7166,-2.9911,-0.0636,1.4146
897,0.0469,0.7186,-3.0261,-0.1207,1.3395
898,0.0473,0.7214,-3.0147,-0.0953,1.3799
899,0.047,0.7238,-2.9767,-0.041,1.4171
900,0.0472,0.7252,-2.993,-0.0554,1.4202
901,0.0469,0.7231,-3.0042,-0.0667,1.4154
902,0.047,0.721,-3.015,-0.0876,1.3931
903,0.0466,0.7254,-2.9828,-0.0329,1.4238
904,0.0461,0.718,-2.9725,-0.0677,1.4161
905,0.0474,0.7219,-3.0008,-0.0716,1.4083
906,0.0464,0.7228,-2.9995,-0.0636,1.3868
907,0.0465,0.7228,-3.0071,-0.0724,1.391
908,0.0458,0.7214,-2.9677,-0.0389,1.4389
909,0.0471,0.72,-3.0111,-0.0944,1.3719
910,0.0465,0.7206,-2.9624,-0.037,1.4511
911,0.0476,0.7229,-2.993,-0.0532,1.4187
912,0.0462,0.7227,-2.9914,-0.0508,1.3902
913,0.0457,0.7209,-2.963,-0.03,1.4431
914,0.0472,0.7257,-2.9885,-0.0447,1.4306
915,0.047,0.7224,-2.9993,-0.0715,1.3828
916,0.0476,0.7196,-3.0261,-0.1143,1.3659
917,0.0472,0.7225,-3.0007,-0.0748,1.4012
918,0.0469,0.717,-2.9636,-0.0514,1.4468
919,0.0477,0.7243,-2.993,-0.0573,1.4295
920,0.0473,0.722,-2.9896,-0.0702,1.428
921,0.048,0.7149,-2.9838,-0.0921,1.4129
922,0.0477,0.7162,-3.0376,-0.1482,1.3217
923,0.0466,0.7236,-2.9886,-0.0428,1.4172
924,0.0466,0.7185,-3.0252,-0.1116,1.3509
925,0.0466,0.7232,-2.9852,-0.0426,1.4102
926,0.0473,0.7223,-2.9852,-0.0622,1.4244
927,0.0475,0.7204,-3.004,-0.0886,1.4194
928,0.0469,0.7244,-2.9876,-0.0595,1.4193
929,0.0459,0.7173,-3.0183,-0.097,1.3327
930,0.0469,0.7192,-3.0178,-0.1044,1.3586
931,0.0474,0.7204,-3.0003,-0.0877,1.4074
932,0.0474,0.7265,-2.9959,-0.0541,1.4347
933,0.0471,0.72,-3.0111,-0.0944,1.3719
934,0.0471,0.7219,-2.9931,-0.0739,1.419
935,0.0466,0.7215,-3.0041,-0.0702,1.4047
936,0.0473,0.7173,-3.0188,-0.123,1.3296
937,0.0476,0.7216,-3.0038,-0.0863,1.4052
938,0.0473,0.7197,-3.0199,-0.1003,1.382
939,0.0474,0.7192,-3.0104,-0.103,1.3641
940,0.0475,0.7213,-3.015,-0.0931,1.3884
941,0.0465,0.7186,-2.9579,-0.0329,1.4572
942,0.047,0.7207,-2.9912,-0.0623,1.3943
943,0.0466,0.7222,-2.9877,-0.0631,1.4085
944,0.0463,0.722,-2.9887,-0.0467,1.409
945,0.0458,0.7183,-2.9805,-0.0622,1.4123
946,0.0461,0.7193,-3.007,-0.0762,1.3684
947,0.0472,0.7186,-3.0114,-0.0986,1.3753
948,0.0454,0.7218,-3.004,-0.0601,1.4084
949,0.0452,0.7236,-3.0009,-0.0508,1.4237
950,0.0467,0.7198,-3.0147,-0.0906,1.3852
951,0.0473,0.7169,-3.0222,-0.1275,1.3301
952,0.0463,0.7206,-2.9993,-0.0615,1.3946
953,0.0463,0.7233,-2.9806,-0.0419,1.4504
954,0.0477,0.7231,-3.0038,-0.0782,1.4016
955,0.0469,0.7211,-3.004,-0.0812,1.4162
956,0.047,0.7254,-2.9886,-0.0491,1.4254
957,0.0465,0.7179,-3.0252,-0.1116,1.3511
958,0.0473,0.7207,-2.9913,-0.0721,1.3866
959,0.0454,0.7267,-2.9764,-0.0263,1.4615
960,0.0471,0.7208,-2.983,-0.0629,1.4019
961,0.0471,0.7225,-3.0037,-0.0802,1.3879
962,0.0475,0.7165,-2.963,-0.0588,1.4048
963,0.0469,0.723,-3.0008,-0.0669,1.4146
964,0.0474,0.722,-3.0071,-0.0856,1.3882
965,0.0475,0.7224,-3.0041,-0.07,1.4159
966,0.0475,0.7203,-3.015,-0.0922,1.3902
967,0.0467,0.7203,-3.0147,-0.0883,1.3786
968,0.0465,0.7175,-2.9721,-0.0593,1.4267
969,0.0471,0.7215,-3.0071,-0.0803,1.3894
970,0.0473,0.7197,-2.9994,-0.0881,1.4049
971,0.0482,0.7187,-2.9959,-0.1015,1.3899
972,0.0466,0.7213,-2.9965,-0.0625,1.4004
973,0.0478,0.7167,-3.0383,-0.1498,1.3227
