,Data_Source,Diluant Type,Diluant(%),Equv(phi),Fuel,Fuel(%),Measured_wavelength(nm),Mode_of_measurement,Oxidizer(%),P(atm),P_Error(%),Research_group,Shocktube_dia(cm),Species_measurement_Error,Species_name,T(K),T_Error(%),Time(μs)
99,blend_surrogate_fuels,N2,77.53,1,CCCCCCC,1.87,306.7,Species,20.6,10.27,,Stanford,5,,OH,1344,±1.8,85
100,Horning_2001_thesis / Autoignition_ n_Alkane,Ar,95.2,1,CCCCCCC,0.4,431,Species,4.4,2.14,,Stanford,15.3,±5,CH,1412,±1,265
104,Horning_2001_thesis / Autoignition_ n_Alkane,Ar,78.55,1,CCCCCCC,1.75,431,Species,19.7,1.19,,Stanford,15.3,±5,CH,1329,±1,382
106,n_Dodecane_Nano,N2,78.43,0.5,CCCCCCCCCCCC,0.57,430,Speceis,21,6.7,,Stanford,15.3,,CH,1108,,1339
112,n_Dodecane / Vasu_2010_thesis,N2,78.11,1,CCCCCCCCCCCC,1.12,306,Species,20.77,23,,Stanford,5,±5,OH,1109,±1,278
113,n_Dodecane_Nano,N2,99.21,1,CCCCCCCCCCCC,0.04,430,Speceis,0.75,2.25,,Stanford,15.3,,CH,1330,,1592
114,n_Dodecane / Vasu_2010_thesis,N2,78.11,1,CCCCCCCCCCCC,1.12,306,Species,20.77,18.7,,Stanford,5,±5,OH,1125,±1,188
115,n_Dodecane_Nano,N2,78.43,0.5,CCCCCCCCCCCC,0.57,430,Speceis,21,6.7,,Stanford,15.3,,CH,1141,,680
118,Horning_2001_thesis / Autoignition_ n_Alkane,Ar,95.2,1,CCCCCCC,0.4,431,Species,4.4,5.63,,Stanford,15.3,±5,CH,1400,±1,190
125,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.59,0.36,CCCCCCCCCCCC,0.41,430,Speceis,21,4.87,±9.3,Stanford,15.3,,CH,976,±1,6220
126,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.5,0.44,CCCCCCCCCCCC,0.5,430,Speceis,21,6.32,±9.3,Stanford,15.3,,CH,1078,±1,1624
128,Horning_2001_thesis / Autoignition_ n_Alkane,Ar,95.2,1,CCCCCCC,0.4,431,Species,4.4,5.68,,Stanford,15.3,±5,CH,1375,±1,271
129,Autoignition_ n_Alkane / Horning_2001_thesis,Ar,85,1,CCCC,2,431,Speceis,13,1.15,±1,Stanford,15.3,±5,CH,1455,±1,149
130,Horning_2001_thesis / Autoignition_ n_Alkane,Ar,90,1.5,CCCCCCC,1.2,431,Species,8.8,1.14,,Stanford,15.3,±5,CH,1465,±1,189
131,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,77.82,1.04,CCCCCCCCCCCC,1.18,430,Speceis,21,6.57,±9.3,Stanford,15.3,,CH,1011,±1,1100
132,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.58,1,CCCCCC,0.42,306,Species,4,1.9,±1,Stanford,14.13,±3,OH,1353,±0.7,623
133,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.68,1,CCCCCCCC,0.32,306,Species,4,1.96,±1,Stanford,14.13,±3,OH,1385,±0.7,390
134,n_Alkane_Oxidation,Ar,99.15,0.68,CCCCCCCCCC,0.04,431,Species,0.81,1.68,,Stanford,8.9,±5,CH,1382, ±1.5,621
135,Horning_2001_thesis / Autoignition_ n_Alkane,Ar,95.2,1,CCCCCCC,0.4,431,Species,4.4,2.13,,Stanford,15.3,±5,CH,1455,±1,165
136,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,N2,78.31,0.61,CCCCCCCCCCCC,0.69,430,Speceis,21,8.5,±9.3,Stanford,15.3,,CH,1114,±1,640
137,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.58,1,CCCCCC,0.42,306,Species,4,1.76,±1,Stanford,14.13,±3,OH,1358,±0.7,688
138,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,N2,78.21,0.69,CCCCCCCCCCCC,0.79,430,Speceis,21,8.02,±9.3,Stanford,15.3,,CH,1084,±1,738
139,blend_surrogate_fuels,N2,77.53,1,CCCCCCC,1.87,306.7,Species,20.6,59.1,,Stanford,5,,OH,1027,±1.8,237
140,Autoignition_ n_Alkane / Horning_2001_thesis,Ar,92.5,1,CCCC,1,431,Speceis,6.5,1.14,±1,Stanford,15.3,±5,CH,1447,±1,244
141,Horning_2001_thesis / Autoignition_ n_Alkane,Ar,95.2,1,CCCCCCC,0.4,431,Species,4.4,2.08,,Stanford,15.3,±5,CH,1478,±1,131
