,Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,T0/T,training_adj_r2
3754,57.4038,-0.9545,-0.4874,-18.5231,1.8873,7.9316,0.7285
3755,62.0498,-0.9572,-0.4355,-20.1172,0.0059,8.2746,0.7522
3756,64.2736,-0.9827,-0.4739,-20.7347,2.0693,7.822,0.7315
3757,50.2048,-0.9385,-0.4629,-16.1851,2.3611,7.9472,0.7262
3758,65.9796,-0.9832,-0.4907,-21.3247,2.1993,7.91,0.7187
3759,56.637,-0.931,-0.4744,-18.2715,0.5486,7.9383,0.7315
3760,42.0054,-0.9461,-0.4831,-13.4471,3.4697,7.7903,0.7247
3761,56.8347,-0.9554,-0.4817,-18.3298,2.0022,7.9044,0.735
3762,44.5863,-0.9139,-0.4827,-14.2733,2.368,7.7001,0.7293
3763,52.7432,-0.9592,-0.4663,-17.0717,1.4421,8.2427,0.7515
3764,47.2974,-0.9241,-0.5146,-15.3066,2.2217,8.1907,0.734
3765,57.4872,-0.9324,-0.467,-18.5467,1.3972,7.8802,0.7229
3766,47.7065,-0.9401,-0.5129,-15.3616,2.867,7.9347,0.7431
3767,47.3336,-0.9303,-0.4753,-15.1261,2.4062,7.5696,0.7135
3768,65.5679,-0.9594,-0.4822,-21.2246,0.962,8.0355,0.7277
3769,53.7378,-0.9444,-0.4948,-17.3592,1.7564,8.0472,0.7396
3770,56.8379,-0.9916,-0.5506,-18.4281,6.0582,8.0725,0.7427
3771,57.5778,-0.9805,-0.4754,-18.5944,3.12,7.9654,0.73
3772,53.5036,-0.9976,-0.475,-17.2928,3.5072,8.1225,0.7492
3773,41.0818,-0.9346,-0.4708,-13.1399,3.4706,7.7574,0.7392
3774,57.9671,-0.9736,-0.4764,-18.7135,1.927,7.9802,0.7335
3775,47.364,-0.936,-0.4795,-15.1671,2.1011,7.7139,0.7281
3776,65.6177,-0.9532,-0.4892,-21.2485,1.2348,8.0197,0.7329
3777,59.3866,-0.9697,-0.4778,-19.1787,1.4773,7.982,0.7228
3778,72.201,-0.982,-0.5145,-23.3719,0.9277,7.9843,0.7302
3779,57.2489,-0.9588,-0.4897,-18.4775,1.9252,7.9525,0.729
3780,56.5353,-0.9509,-0.4693,-18.2067,1.4993,7.8449,0.7341
3781,42.2762,-0.9101,-0.5138,-13.5649,2.8587,7.8271,0.7267
3782,54.5896,-0.9299,-0.5327,-17.7333,1.3958,8.3555,0.7606
3783,51.4485,-0.9576,-0.4603,-16.5733,1.6931,7.9819,0.7386
3784,63.155,-0.9498,-0.4769,-20.3567,1.649,7.7272,0.7
3785,49.299,-0.9512,-0.4644,-15.8148,2.9299,7.7114,0.7233
3786,56.8974,-0.9625,-0.5107,-18.3319,2.5893,7.8317,0.7285
3787,38.5665,-0.9412,-0.4405,-12.3105,2.2901,7.8546,0.7448
3788,79.5929,-1.0034,-0.4685,-25.7285,0.3112,7.8209,0.7283
3789,64.7377,-0.9997,-0.515,-20.985,3.9136,8.0846,0.7434
3790,43.0585,-0.9763,-0.4416,-13.799,2.8678,7.9308,0.7446
3791,70.6053,-0.9447,-0.4993,-22.8632,0.9185,7.9253,0.7286
3792,57.7528,-0.9747,-0.4924,-18.6491,2.2838,7.9856,0.7242
3793,74.6704,-0.9943,-0.5014,-24.1675,1.6152,7.9131,0.72
3794,79.9046,-1.0125,-0.4902,-25.9217,0.4625,8.1395,0.7206
3795,56.2682,-0.9697,-0.4979,-18.175,3.0756,7.9786,0.7282
3796,69.959,-0.9598,-0.5226,-22.6193,0.8349,7.9071,0.7389
3797,63.6308,-0.9708,-0.4768,-20.5439,2.0461,7.8624,0.7186
3798,63.1767,-0.9432,-0.541,-20.4235,1.9115,7.8953,0.7292
3799,62.9842,-0.9702,-0.4893,-20.3571,2.1125,7.9511,0.7258
3800,63.9454,-0.95,-0.5177,-20.6975,1.6747,7.996,0.7254
3801,57.8217,-0.948,-0.5135,-18.7728,2.0631,8.2517,0.7382
3802,61.7564,-0.9622,-0.5161,-19.9468,2.5846,7.8793,0.7311
3803,62.0324,-0.9698,-0.506,-20.0691,3.051,7.959,0.7352
3804,63.8487,-0.9384,-0.4914,-20.6503,0.614,7.9725,0.7245
3805,70.4484,-0.9808,-0.4936,-22.8248,1.2698,8.051,0.7327
3806,56.2012,-0.9635,-0.4622,-18.1199,2.241,7.8941,0.7236
3807,74.1369,-0.9924,-0.5295,-24.0132,1.4708,7.9714,0.7321
3808,62.9344,-0.9207,-0.5244,-20.451,0.963,8.2212,0.746
3809,63.5354,-0.9606,-0.4906,-20.5678,1.4722,8.0528,0.729
3810,55.1023,-0.953,-0.4084,-17.8087,0.1972,8.1849,0.7525
3811,98.591,-0.9898,-0.557,-32.157,-1.1868,8.4316,0.7488
3812,53.0414,-0.9477,-0.4854,-17.0527,2.423,7.7841,0.7326
3813,64.3173,-0.9819,-0.4747,-20.7913,0.8823,8.0333,0.7309
3814,55.2805,-0.9442,-0.4911,-17.8437,2.467,7.9194,0.7193
3815,43.4024,-0.9264,-0.4908,-13.9162,2.3942,7.8204,0.732
3816,51.6498,-0.9395,-0.482,-16.5846,2.5342,7.7108,0.7223
3817,69.9354,-1.0138,-0.5348,-22.6862,4.2015,8.0736,0.7415
3818,25.9668,-0.8863,-0.4634,-8.2093,2.6084,7.8424,0.7417
3819,44.9858,-0.9312,-0.4935,-14.4353,2.7443,7.8195,0.7299
3820,52.576,-0.946,-0.505,-16.9915,2.4603,8.0533,0.7266
3821,38.3743,-0.9218,-0.5021,-12.2531,3.85,7.7177,0.7357
3822,60.9682,-0.9294,-0.4749,-19.7721,-0.5303,8.2575,0.7305
3823,49.4454,-0.9292,-0.4888,-15.9198,2.3944,7.8843,0.7266
3824,83.9272,-0.9798,-0.4958,-27.1791,0.4317,7.8637,0.7188
3825,66.9145,-0.9438,-0.5079,-21.7066,1.1947,8.1351,0.7404
3826,50.8256,-0.9537,-0.5353,-16.3145,3.1902,7.7187,0.7324
