,Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,T0/T,training_adj_r2
149,-7.0284,-0.4545,0.8297,-1.5105,-9.3736,22.9605,0.9141
150,-7.0529,-0.4514,0.7192,-1.409,-9.108,22.5093,0.9008
151,-6.6964,-0.4395,0.8975,-1.5268,-9.7595,22.7372,0.923
152,-6.9733,-0.405,0.7349,-1.4571,-9.4865,22.3837,0.9117
153,-6.8668,-0.4058,0.7386,-1.4332,-9.1766,22.2155,0.9189
154,-6.733,-0.4501,0.8885,-1.5298,-10.2544,22.8183,0.9085
155,-7.0791,-0.3799,0.8026,-1.5752,-9.8533,22.8026,0.9106
156,-6.9541,-0.4152,0.7744,-1.4716,-9.6601,22.5546,0.9048
157,-6.918,-0.4365,0.7973,-1.4764,-9.8919,22.6589,0.9146
158,-6.9561,-0.4336,0.7752,-1.4607,-9.7064,22.6015,0.9142
159,-7.8386,-0.4783,0.5869,-1.3585,-9.1086,23.1187,0.898
160,-6.9647,-0.4351,0.7736,-1.4548,-9.643,22.6071,0.9139
161,-6.8716,-0.4364,0.7826,-1.4583,-9.782,22.5282,0.9112
162,-6.7898,-0.392,0.8029,-1.486,-9.5253,22.3674,0.9195
163,-6.797,-0.4343,0.8391,-1.511,-10.0671,22.6673,0.9131
164,-7.0564,-0.421,0.726,-1.4475,-9.5479,22.5209,0.9121
165,-6.9129,-0.4189,0.7744,-1.4765,-9.9468,22.5295,0.9133
166,-6.5929,-0.4758,0.9816,-1.5753,-10.3836,23.0546,0.9132
167,-6.9542,-0.4022,0.7195,-1.4414,-9.3579,22.2727,0.9239
168,-6.8419,-0.4492,0.8143,-1.4741,-9.7413,22.6243,0.9144
169,-6.7985,-0.4551,0.8719,-1.5148,-9.9534,22.8245,0.9143
170,-6.9505,-0.4345,0.7771,-1.4614,-9.6807,22.6009,0.9133
171,-6.9122,-0.4458,0.7316,-1.4019,-8.9656,22.3358,0.9132
172,-6.8919,-0.4499,0.7707,-1.4315,-9.5648,22.5153,0.9119
173,-7.9325,-0.4101,0.6633,-1.5203,-13.5992,23.6894,0.9024
174,-6.8393,-0.4365,0.7848,-1.4619,-10.0157,22.5217,0.9151
175,-6.9756,-0.5019,0.6776,-1.2737,-8.7189,22.2623,0.9346
176,-6.9556,-0.4362,0.7778,-1.4583,-9.7309,22.6197,0.9137
177,-8.0337,-0.4383,0.6291,-1.4791,-13.2752,23.7343,0.8983
178,-6.9568,-0.4375,0.799,-1.4718,-9.7597,22.711,0.9111
179,-6.9657,-0.4348,0.6788,-1.3872,-9.5065,22.225,0.9134
180,-7.2743,-0.4238,0.7207,-1.4424,-9.0979,22.7437,0.9203
181,-6.953,-0.4368,0.798,-1.4714,-9.759,22.7,0.9113
182,-7.7837,-0.3881,0.8852,-1.7212,-15.8309,24.4878,0.8863
183,-6.8178,-0.4123,0.8108,-1.4903,-9.7899,22.5035,0.9217
184,-6.9228,-0.4429,0.7942,-1.4659,-9.476,22.6208,0.9163
185,-6.8182,-0.4373,0.7915,-1.4609,-9.8771,22.5016,0.9126
186,-7.1002,-0.4281,0.7403,-1.4429,-9.35,22.6171,0.916
187,-7.2103,-0.4484,0.7595,-1.4611,-9.1234,22.8753,0.9186
188,-6.9986,-0.4869,0.8124,-1.459,-8.5856,22.837,0.918
189,-7.009,-0.4341,0.7703,-1.463,-9.6793,22.6488,0.9111
190,-6.987,-0.4357,0.7831,-1.4665,-9.6518,22.6713,0.9114
191,-6.987,-0.4303,0.7459,-1.455,-9.8008,22.5339,0.9163
192,-7.0107,-0.4271,0.8013,-1.5062,-9.8104,22.7843,0.9116
193,-7.3877,-0.4113,0.6449,-1.444,-9.2466,22.6159,0.9153
194,-7.4176,-0.4264,0.7199,-1.4592,-8.9496,22.925,0.9218
195,-6.9189,-0.3725,0.8414,-1.6114,-14.5952,22.9928,0.9138
196,-7.0182,-0.436,0.7855,-1.4663,-9.683,22.7342,0.911
197,-6.6814,-0.3901,0.7855,-1.4901,-10.1559,22.2196,0.9022
198,-6.9787,-0.4361,0.7693,-1.46,-9.6525,22.6124,0.9114
199,-6.9559,-0.4428,0.8053,-1.4776,-9.6899,22.7397,0.9108
200,-6.9422,-0.363,0.8571,-1.6248,-12.923,22.9806,0.9211
201,-6.8339,-0.4206,0.782,-1.4759,-10.0316,22.463,0.9102
202,-6.8708,-0.3858,0.7824,-1.5201,-10.1389,22.4559,0.9086
203,-6.5829,-0.4801,0.9575,-1.5506,-10.1068,22.937,0.914
204,-6.9004,-0.4048,0.752,-1.4621,-9.5525,22.3544,0.924
205,-7.023,-0.4248,0.7604,-1.4732,-9.6047,22.6103,0.9077
206,-6.5589,-0.4473,0.8285,-1.4597,-9.8864,22.3098,0.9169
207,-6.9389,-0.4176,0.7968,-1.4923,-10.0304,22.6609,0.9089
208,-6.6459,-0.4821,0.9581,-1.5551,-10.2051,23.0294,0.9183
209,-6.7456,-0.3629,0.9206,-1.6456,-14.0372,23.0231,0.9144
210,-6.6098,-0.4699,0.8963,-1.5006,-10.2377,22.735,0.9168
211,-6.7974,-0.4132,0.8837,-1.5516,-10.4172,22.8269,0.9103
212,-6.9112,-0.4365,0.8014,-1.4747,-9.9011,22.6701,0.9145
213,-7.2744,-0.3996,0.7475,-1.5138,-9.2922,22.8292,0.9274
214,-7.1616,-0.4155,0.7598,-1.4896,-9.6298,22.7715,0.9175
215,-6.9544,-0.435,0.7758,-1.461,-9.6977,22.6026,0.9144
216,-6.9875,-0.4372,0.7387,-1.4318,-9.5217,22.4875,0.9108
217,-6.9666,-0.4375,0.788,-1.4629,-9.7339,22.6825,0.914
218,-6.8684,-0.4496,0.7924,-1.4543,-9.44,22.5712,0.9145
219,-6.9511,-0.4409,0.7608,-1.4368,-9.4537,22.5347,0.9119
220,-6.9479,-0.4263,0.7468,-1.4368,-9.447,22.4394,0.9112
221,-7.1223,-0.4269,0.7618,-1.4798,-9.3765,22.741,0.9121
222,-6.8434,-0.4371,0.8047,-1.4757,-9.9829,22.5965,0.9115
223,-6.9714,-0.4569,0.8593,-1.5203,-9.9165,23.0093,0.9184
224,-7.2427,-0.4656,0.6984,-1.3964,-9.3513,22.7286,0.9017
225,-6.9233,-0.3725,0.8154,-1.5802,-13.752,22.8456,0.9162
226,-6.7232,-0.3634,0.9056,-1.629,-13.8819,22.9221,0.9122
227,-6.9869,-0.4373,0.7384,-1.4313,-9.5158,22.4857,0.9107
228,-6.7676,-0.4453,0.873,-1.5228,-10.0456,22.7771,0.9135
229,-6.7429,-0.4409,0.8055,-1.4604,-9.931,22.467,0.9138
230,-6.9105,-0.4234,0.7588,-1.4551,-9.5514,22.4408,0.9052
231,-7.033,-0.4066,0.7349,-1.4568,-9.4331,22.4668,0.9086
232,-6.9781,-0.3964,0.7638,-1.5085,-9.5235,22.518,0.9197
233,-6.6293,-0.4816,0.8559,-1.455,-9.5256,22.5582,0.9136
234,-7.181,-0.4614,0.6899,-1.3828,-8.5093,22.5479,0.9199
