,Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,T0/T,training_adj_r2
565,-6.3341,-0.6151,0.7724,-1.5265,-2.1622,21.9979,0.9636
566,-6.1905,-0.6128,0.7922,-1.5605,-2.2162,21.9,0.9634
567,-6.3748,-0.6032,0.7612,-1.4978,-2.0639,21.9446,0.9637
568,-6.433,-0.603,0.8206,-1.4999,-2.6509,22.1685,0.9565
569,-6.2681,-0.6126,0.7934,-1.5232,-2.3586,21.9452,0.9621
570,-6.1592,-0.6131,0.7746,-1.5311,-2.0674,21.7464,0.9594
571,-6.247,-0.6213,0.7946,-1.5611,-2.2323,21.9901,0.9604
572,-6.2599,-0.6184,0.7877,-1.5579,-2.2743,21.9979,0.9634
573,-6.3706,-0.632,0.7839,-1.5484,-2.1821,22.1255,0.9636
574,-6.2954,-0.6178,0.7817,-1.5446,-2.1538,21.997,0.9629
575,-6.2432,-0.613,0.774,-1.5442,-2.1136,21.9069,0.9629
576,-6.3846,-0.6244,0.7695,-1.5327,-2.1393,22.0823,0.9638
577,-6.2628,-0.6095,0.7989,-1.5377,-2.3184,21.9644,0.9634
578,-6.3609,-0.606,0.7576,-1.5072,-1.9456,21.9322,0.9636
579,-6.1765,-0.6257,0.7873,-1.5493,-2.16,21.8477,0.9618
580,-6.2299,-0.6298,0.7956,-1.5622,-2.1601,21.9673,0.9633
581,-6.2708,-0.612,0.7596,-1.5313,-1.9267,21.869,0.9633
582,-6.2374,-0.6064,0.7781,-1.509,-2.2129,21.8245,0.9626
583,-6.278,-0.612,0.7554,-1.5203,-2.075,21.8736,0.963
584,-6.3235,-0.6199,0.7832,-1.5412,-2.2033,22.0436,0.9626
585,-6.4327,-0.5999,0.7988,-1.4773,-2.6064,22.0845,0.9598
586,-6.289,-0.6323,0.7781,-1.5465,-2.1262,21.9927,0.9633
587,-6.2859,-0.6141,0.7828,-1.5495,-2.1891,21.9917,0.9639
588,-6.3799,-0.6035,0.804,-1.4893,-2.5483,22.0421,0.9547
589,-6.3209,-0.6151,0.7937,-1.5579,-2.1414,22.0654,0.9634
590,-6.1455,-0.6161,0.7872,-1.5441,-2.1799,21.7904,0.9622
591,-6.2692,-0.6171,0.7778,-1.5451,-2.1247,21.9527,0.9614
592,-6.3443,-0.6185,0.763,-1.5301,-2.0059,21.9959,0.9642
593,-6.2505,-0.6167,0.7679,-1.5352,-2.0735,21.8901,0.9612
594,-6.2494,-0.6164,0.7817,-1.5503,-2.1451,21.9457,0.9623
595,-6.315,-0.6353,0.7859,-1.5529,-2.162,22.0603,0.9635
596,-6.2956,-0.6147,0.8002,-1.5646,-2.2728,22.0747,0.9618
