Data_Source,Diluant Type,Diluant(%),Equv(phi),Fuel,Fuel(%),Measured_wavelength(nm),Mode_of_measurement,Oxidizer(%),P(atm),P_Error(%),Research_group,Shocktube_dia(cm),Species_measurement_Error,Species_name,T(K),T_Error(%),Time(μs)
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,95.2,1,CCCCCCC,0.4,431,Species,4.4,1.23,,Stanford,15.3,±5,CH,1486,±1,159
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,77.5,1.32,CCCCCCCCCCCC,1.5,430,Speceis,21,6.26,±9.3,Stanford,15.3,,CH,838,±1,5352
n_Alkane_Oxidation,Ar,96.7,1,CCCCCCCCCC,0.2,431,Species,3.1,2.2,,Stanford,8.9,±5,CH,1404, ±1.5,238
n_Dodecane_Nano,N2,78.79,0.18,CCCCCCCCCCCC,0.21,430,Speceis,21,7.1,,Stanford,15.3,,CH,1187,,793
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.68,1,CCCCCCCC,0.32,306,Species,4,3.63,±1,Stanford,14.13,±3,OH,1384,±0.7,285
blend_surrogate_fuels,N2,77.53,1,CCCCCCC,1.87,306.7,Species,20.6,19.87,,Stanford,5,,OH,906,±1.8,1836
n_heptane_oxidation,Ar,99.64,1,CCCCCCC,0.03,306.7,Species,0.33,2.44,±1,Stanford,15.3,,OH,1358,±1,1280
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.65,0.31,CCCCCCCCCCCC,0.35,430,Speceis,21,4.79,±9.3,Stanford,15.3,,CH,1241,±1,337
n_Dodecane / Vasu_2010_thesis,N2,78.11,1,CCCCCCCCCCCC,1.12,306,Species,20.77,19.8,,Stanford,5,±5,OH,957,±1,1064
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,77.77,1.08,CCCCCCCCCCCC,1.23,430,Speceis,21,4.86,±9.3,Stanford,15.3,,CH,921,±1,6085
blend_surrogate_fuels,N2,77.53,1,CCCCCCC,1.87,306.7,Species,20.6,10.62,,Stanford,5,,OH,1305,±1.8,117
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.41,0.52,CCCCCCCCCCCC,0.59,430,Speceis,21,6.4,±9.3,Stanford,15.3,,CH,1191,±1,550
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.71,1,CCCCCCCCC,0.29,306,Species,4,3.63,±1,Stanford,14.13,±3,OH,1348,±0.7,405
n_Dodecane / Vasu_2010_thesis,N2,78.11,1,CCCCCCCCCCCC,1.12,306,Species,20.77,24,,Stanford,5,±5,OH,1123,±1,262
blend_surrogate_fuels,N2,77.53,1,CCCCCCC,1.87,306.7,Species,20.6,57.7,,Stanford,5,,OH,1007,±1.8,232
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.58,1,CCCCCC,0.42,306,Species,4,3.48,±1,Stanford,14.13,±3,OH,1386,±0.7,291
n_hexadecane / hexadecane_diesel/Haylett_2011_thesis,Ar,95.87,0.77,CCCCCCCCCCCCCCCC,0.13,431,Species,4,1.86,,Stanford,15.3,±2,CH,1231,±2,2137
Autoignition_ n_Alkane / Horning_2001_thesis,Ar,92.5,1,CCCC,1,431,Speceis,6.5,1.12,±1,Stanford,15.3,±5,CH,1505,±1,140
blend_surrogate_fuels,N2,77.53,1,CCCCCCC,1.87,306.7,Species,20.6,52.3,,Stanford,5,,OH,1115,±1.8,102
n_Dodecane / Vasu_2010_thesis,N2,78.11,1,CCCCCCCCCCCC,1.12,306,Species,20.77,20.8,,Stanford,5,±5,OH,1102,±1,268
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.86,0.5,CCCCCCCCC,0.14,306,Species,4,1.81,±1,Stanford,14.13,±3,OH,1299,±0.7,730
n_Dodecane / Vasu_2010_thesis,N2,78.11,1,CCCCCCCCCCCC,1.12,306,Species,20.77,21,,Stanford,5,±5,OH,942,±1,1116
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.11,0.79,CCCCCCCCCCCC,0.89,430,Speceis,21,4.88,±9.3,Stanford,15.3,,CH,1118,±1,587
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.17,0.73,CCCCCCCCCCCC,0.83,430,Speceis,21,4.43,±9.3,Stanford,15.3,,CH,1035,±1,1803
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,N2,78.06,0.82,CCCCCCCCCCCC,0.94,430,Speceis,21,7.88,±9.3,Stanford,15.3,,CH,1050,±1,1034
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.58,1,CCCCCC,0.42,306,Species,4,1.77,±1,Stanford,14.13,±3,OH,1470,±0.7,176
blend_surrogate_fuels,N2,77.53,1,CCCCCCC,1.87,306.7,Species,20.6,1.97,,Stanford,5,,OH,1249,±1.8,298
Autoignition_ n_Alkane / Horning_2001_thesis,Ar,92.5,1,CCCC,1,431,Speceis,6.5,2,±1,Stanford,15.3,±5,CH,1454,±1,170
Autoignition_ n_Alkane / Horning_2001_thesis,Ar,92.5,1,CCCC,1,431,Speceis,6.5,1.14,±1,Stanford,15.3,±5,CH,1499,±1,151
blend_surrogate_fuels,N2,77.53,1,CCCCCCC,1.87,306.7,Species,20.6,53.6,,Stanford,5,,OH,1013,±1.8,292
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.86,0.5,CCCCCCCCC,0.14,306,Species,4,1.75,±1,Stanford,14.13,±3,OH,1331,±0.7,421
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,95.2,1,CCCCCCC,0.4,431,Species,4.4,5.41,,Stanford,15.3,±5,CH,1419,±1,158
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,90,1.5,CCCCCCC,1.2,431,Species,8.8,1.27,,Stanford,15.3,±5,CH,1409,±1,321
n_Dodecane / Vasu_2010_thesis,N2,78.55,0.5,CCCCCCCCCCCC,0.57,306,Species,20.89,21,,Stanford,5,±5,OH,1149,±1,261
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.81,0.17,CCCCCCCCCCCC,0.19,430,Speceis,21,5.65,±9.3,Stanford,15.3,,CH,1112,±1,2281
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.29,0.62,CCCCCCCCCCCC,0.71,430,Speceis,21,5.33,±9.3,Stanford,15.3,,CH,1172,±1,663
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.58,1,CCCCCC,0.42,306,Species,4,3.43,±1,Stanford,14.13,±3,OH,1407,±0.7,263
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,77.83,1.03,CCCCCCCCCCCC,1.17,430,Speceis,21,6.57,±9.3,Stanford,15.3,,CH,958,±1,2041
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.26,0.65,CCCCCCCCCCCC,0.74,430,Speceis,21,4.68,±9.3,Stanford,15.3,,CH,1003,±1,4081
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,77.84,1.02,CCCCCCCCCCCC,1.16,430,Speceis,21,5.05,±9.3,Stanford,15.3,,CH,954,±1,4169
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.5,1,CCCCC,0.5,306,Species,4,1.91,±1,Stanford,14.13,±3,OH,1360,±0.7,603
blend_surrogate_fuels,N2,77.53,1,CCCCCCC,1.87,306.7,Species,20.6,11.24,,Stanford,5,,OH,1236,±1.8,207
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.68,1,CCCCCCCC,0.32,306,Species,4,3.59,±1,Stanford,14.13,±3,OH,1421,±0.7,210
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.04,0.85,CCCCCCCCCCCC,0.96,430,Speceis,21,4.36,±9.3,Stanford,15.3,,CH,1019,±1,1828
blend_surrogate_fuels,N2,77.53,1,CCCCCCC,1.87,306.7,Species,20.6,1.99,,Stanford,5,,OH,1378,±1.8,117
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.75,0.22,CCCCCCCCCCCC,0.25,430,Speceis,21,4.93,±9.3,Stanford,15.3,,CH,1163,±1,1800
n_Dodecane / Vasu_2010_thesis,N2,98.04,0.5,CCCCCCCCCCCC,0.05,306,Species,1.91,15.52,,Stanford,5,±5,OH,1322,±1,293
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.79,0.5,CCCCCC,0.21,306,Species,4,1.76,±1,Stanford,14.13,±3,OH,1274,±0.7,1225
n_Dodecane / Vasu_2010_thesis,N2,78.11,1,CCCCCCCCCCCC,1.12,306,Species,20.77,22.1,,Stanford,5,±5,OH,1036,±1,432
n_Dodecane / Vasu_2010_thesis,N2,96.18,0.5,CCCCCCCCCCCC,0.1,306,Species,3.73,16.13,,Stanford,5,±5,OH,1211,±1,534
