,Data_Source,Diluant Type,Diluant(%),Equv(phi),Fuel,Fuel(%),Measured_wavelength(nm),Mode_of_measurement,Oxidizer(%),P(atm),P_Error(%),Research_group,Shocktube_dia(cm),Species_measurement_Error,Species_name,T(K),T_Error(%),Time(μs)
282,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.68,1.0,CCCCCCCC,0.32,306.0,Species,4.0,3.59,±1,Stanford,14.13,±3,OH,1421,±0.7,210
283,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.0376,0.85,CCCCCCCCCCCC,0.9624,430.0,Speceis,21.0,4.36,±9.3,Stanford,15.3,,CH,1019,±1,1828
284,Horning_2001_thesis / Autoignition_ n_Alkane,Ar,94.8,0.9,CCCCCCC,0.4,431.0,Species,4.8,1.22,,Stanford,15.3,±5,CH,1438,±1,238
285,blend_surrogate_fuels,N2,77.526,1.0,CCCCCCC,1.874,306.7,Species,20.6,16.72,,Stanford,5.0,,OH,1048,±1.8,854
286,blend_surrogate_fuels,N2,77.526,1.0,CCCCCCC,1.874,306.7,Species,20.6,1.99,,Stanford,5.0,,OH,1378,±1.8,117
287,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.7466,0.22,CCCCCCCCCCCC,0.2534,430.0,Speceis,21.0,4.93,±9.3,Stanford,15.3,,CH,1163,±1,1800
288,n_Dodecane / Vasu_2010_thesis,N2,98.03754,0.5,CCCCCCCCCCCC,0.05146,306.0,Species,1.911,15.52,,Stanford,5.0,±5,OH,1322,±1,293
289,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.79,0.5,CCCCCC,0.21,306.0,Species,4.0,1.76,±1,Stanford,14.13,±3,OH,1274,±0.7,1225
291,Autoignition_ n_Alkane / Horning_2001_thesis,Ar,92.5,1.0,CCCC,1.0,431.0,Speceis,6.5,1.18,±1,Stanford,15.3,±5,CH,1405,±1,420
292,n_Dodecane / Vasu_2010_thesis,N2,78.107,1.0,CCCCCCCCCCCC,1.123,306.0,Species,20.77,22.1,,Stanford,5.0,±5,OH,1036,±1,432
294,Horning_2001_thesis / Autoignition_ n_Alkane,Ar,94.8,0.9,CCCCCCC,0.4,431.0,Species,4.8,1.15,,Stanford,15.3,±5,CH,1446,±1,234
295,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.84,0.5,CCCCCCCC,0.16,306.0,Species,4.0,2.19,±1,Stanford,14.13,±3,OH,1252,±0.7,1269
296,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,N2,78.0503,0.84,CCCCCCCCCCCC,0.9497,430.0,Speceis,21.0,8.53,±9.3,Stanford,15.3,,CH,1179,±1,220
297,Horning_2001_thesis / Autoignition_ n_Alkane,Ar,95.2,1.0,CCCCCCC,0.4,431.0,Species,4.4,5.57,,Stanford,15.3,±5,CH,1372,±1,279
298,n_Dodecane / Vasu_2010_thesis,N2,78.107,1.0,CCCCCCCCCCCC,1.123,306.0,Species,20.77,23.3,,Stanford,5.0,±5,OH,1107,±1,298
299,n_Dodecane / Vasu_2010_thesis,N2,78.107,1.0,CCCCCCCCCCCC,1.123,306.0,Species,20.77,20.0,,Stanford,5.0,±5,OH,953,±1,1141
303,Horning_2001_thesis / Autoignition_ n_Alkane,Ar,95.2,1.0,CCCCCCC,0.4,431.0,Species,4.4,5.69,,Stanford,15.3,±5,CH,1421,±1,138
304,n_Dodecane_Nano,N2,99.203,1.0,CCCCCCCCCCCC,0.047,430.0,Speceis,0.75,2.37,,Stanford,15.3,,CH,1406,,571
306,n_Dodecane / Vasu_2010_thesis,N2,98.03754,0.5,CCCCCCCCCCCC,0.05146,306.0,Species,1.911,15.08,,Stanford,5.0,±5,OH,1252,±1,713
309,Horning_2001_thesis / Autoignition_ n_Alkane,Ar,95.2,1.0,CCCCCCC,0.4,431.0,Species,4.4,1.27,,Stanford,15.3,±5,CH,1458,±1,208
310,n_Dodecane / Vasu_2010_thesis,N2,78.107,1.0,CCCCCCCCCCCC,1.123,306.0,Species,20.77,20.4,,Stanford,5.0,±5,OH,992,±1,739
311,n_Dodecane_Nano,N2,78.43,0.5,CCCCCCCCCCCC,0.57,430.0,Speceis,21.0,6.7,,Stanford,15.3,,CH,1126,,1069
313,n_Dodecane_Nano,N2,99.2055,1.0,CCCCCCCCCCCC,0.0445,430.0,Speceis,0.75,2.41,,Stanford,15.3,,CH,1403,,586
314,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,77.506,1.32,CCCCCCCCCCCC,1.494,430.0,Speceis,21.0,6.01,±9.3,Stanford,15.3,,CH,932,±1,1559
315,n_Dodecane_Nano,N2,99.1724,1.0,CCCCCCCCCCCC,0.05,430.0,Speceis,0.7776,2.25,,Stanford,15.3,,CH,1553,,276
