Data_Source,Diluant Type,Diluant(%),Equv(phi),Fuel,Fuel(%),Measured_wavelength(nm),Mode_of_measurement,Oxidizer(%),P(atm),P_Error(%),Research_group,Shocktube_dia(cm),Species_measurement_Error,Species_name,T(K),T_Error(%),Time(μs)
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.4977,0.44,CCCCCCCCCCCC,0.5023,430,Speceis,21,6.32,±9.3,Stanford,15.3,,CH,1078,±1,1624
C1_C4_Alkanes,Ar,92.86,1,CCCC,0.95,430,Speceis,6.19,1.23,,Xi’an_Jiaotong,11.5,±2.36,CH,1276,±3,1432
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,95.2,1,CCCCCCC,0.4,431,Species,4.4,5.68,,Stanford,15.3,±5,CH,1375,±1,271
Autoignition_ n_Alkane / Horning_2001_thesis,Ar,85,1,CCCC,2,431,Speceis,13,1.15,±1,Stanford,15.3,±5,CH,1455,±1,149
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,90,1.5,CCCCCCC,1.2,431,Species,8.8,1.14,,Stanford,15.3,±5,CH,1465,±1,189
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,77.821,1.04,CCCCCCCCCCCC,1.179,430,Speceis,21,6.57,±9.3,Stanford,15.3,,CH,1011,±1,1100
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.58,1,CCCCCC,0.42,306,Species,4,1.9,±1,Stanford,14.13,±3,OH,1353,±0.7,623
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.68,1,CCCCCCCC,0.32,306,Species,4,1.96,±1,Stanford,14.13,±3,OH,1385,±0.7,390
n_Alkane_Oxidation,Ar,99.1512,0.68,CCCCCCCCCC,0.0358,431,Species,0.813,1.68,,Stanford,8.9,±5,CH,1382, ±1.5,621
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,95.2,1,CCCCCCC,0.4,431,Species,4.4,2.13,,Stanford,15.3,±5,CH,1455,±1,165
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,N2,78.3115,0.61,CCCCCCCCCCCC,0.6885,430,Speceis,21,8.5,±9.3,Stanford,15.3,,CH,1114,±1,640
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.58,1,CCCCCC,0.42,306,Species,4,1.76,±1,Stanford,14.13,±3,OH,1358,±0.7,688
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,N2,78.2129,0.69,CCCCCCCCCCCC,0.7871,430,Speceis,21,8.02,±9.3,Stanford,15.3,,CH,1084,±1,738
blend_surrogate_fuels,N2,77.526,1,CCCCCCC,1.874,306.7,Species,20.6,59.1,,Stanford,5,,OH,1027,±1.8,237
Autoignition_ n_Alkane / Horning_2001_thesis,Ar,92.5,1,CCCC,1,431,Speceis,6.5,1.14,±1,Stanford,15.3,±5,CH,1447,±1,244
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,95.2,1,CCCCCCC,0.4,431,Species,4.4,2.08,,Stanford,15.3,±5,CH,1478,±1,131
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,90,1.5,CCCCCCC,1.2,431,Species,8.8,1.29,,Stanford,15.3,±5,CH,1411,±1,311
n_Dodecane_Nano,N2,99.203,1,CCCCCCCCCCCC,0.047,430,Speceis,0.75,2.35,,Stanford,15.3,,CH,1418,,614
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.4351,0.5,CCCCCCCCCCCC,0.5649,430,Speceis,21,6.56,±9.3,Stanford,15.3,,CH,1053,±1,2105
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.84,0.5,CCCCCCCC,0.16,306,Species,4,2.07,±1,Stanford,14.13,±3,OH,1273,±0.7,988
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,N2,77.9754,0.9,CCCCCCCCCCCC,1.0246,430,Speceis,21,7.88,±9.3,Stanford,15.3,,CH,1167,±1,215
Autoignition_ n_Alkane / Horning_2001_thesis,Ar,92.5,1,CCCC,1,431,Speceis,6.5,1.2,±1,Stanford,15.3,±5,CH,1478,±1,171
n_Dodecane_Nano,N2,99.1887,1,CCCCCCCCCCCC,0.0456,430,Speceis,0.7657,2.47,,Stanford,15.3,,CH,1415,,790
n_Dodecane_Nano,N2,78.43,0.5,CCCCCCCCCCCC,0.57,430,Speceis,21,6.7,,Stanford,15.3,,CH,1145,,605
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.814,0.16,CCCCCCCCCCCC,0.186,430,Speceis,21,4.64,±9.3,Stanford,15.3,,CH,1209,±1,926
Autoignition_ n_Alkane / Horning_2001_thesis,Ar,96.25,1,CCCC,0.5,431,Speceis,3.25,1.18,±1,Stanford,15.3,±5,CH,1513,±1,186
blend_surrogate_fuels,N2,77.526,1,CCCCCCC,1.874,306.7,Species,20.6,10.25,,Stanford,5,,OH,1299,±1.8,122
